"","bins","freq"
"1","0-4",0.117106773823192
"2","5-9",0.13097588978186
"3","10-14",0.118117106773823
"4","15-19",0.113754305396096
"5","20-24",0.106498277841561
"6","25-29",0.0921239954075775
"7","30-34",0.0766934557979334
"8","35-39",0.0557060849598163
"9","40-44",0.0451894374282434
"10","45-49",0.0337543053960964
"11","50-54",0.0280137772675086
"12","55-59",0.0241102181400689
"13","60-64",0.0205740528128588
"14","65-69",0.0141905855338691
"15","70-74",0.0104707233065442
"16","75-79",0.00675086107921929
